start station name,number of rides,start station latitude,start station longitude,neighbourhood
Charles Circle - Charles St at Cambridge St,41246,42.36079296858265,-71.07118962337152,Beacon Hill
Christian Science Plaza - Massachusetts Ave at Westland Ave,37786,42.3436658245146,-71.08582377433777,Fenway / Kenmore
Commonwealth Ave at Agganis Way,35904,42.35169201885973,-71.11903488636017,Allston
Forsyth St at Huntington Ave,35428,42.339202,-71.090511,Fenway / Kenmore
Boylston St at Massachusetts Ave,34319,42.34740620525209,-71.08678414955648,Back Bay
Landmark Center - Brookline Ave at Park Dr,31597,42.34369055719748,-71.10235286881107,Fenway / Kenmore
Beacon St at Massachusetts Ave,31213,42.35082680669095,-71.0898108780384,Fenway / Kenmore
Newbury St at Hereford St,30981,42.348717,-71.085954,Back Bay
Deerfield St at Commonwealth Ave,29203,42.34924376955301,-71.09728209692548,Allston
Cross St at Hanover St,28110,42.362811,-71.056067,North End
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,26747,42.33624444796878,-71.08798563480377,Fenway / Kenmore
Boylston St at Jersey St,25916,42.34465062887831,-71.09732501226972,Fenway / Kenmore
South Station - 700 Atlantic Ave,25652,42.352175,-71.055547,Downtown Boston
Chinatown T Stop,24942,42.352409,-71.062679,Downtown Boston
Packard's Corner - Commonwealth Ave at Brighton Ave,24300,42.352261,-71.123831,Allston
Mugar Way at Beacon St,24051,42.35553628489709,-71.07286870479584,Beacon Hill
Boylston St at Exeter St,23343,42.349589423682445,-71.0794677917329,Back Bay
Copley Square - Dartmouth St at Boylston St,22701,42.34992828230057,-71.07739206866427,Back Bay
Longwood Ave at Binney St,22438,42.338629,-71.1065,Fenway / Kenmore
Nashua Street at Red Auerbach Way,21815,42.365673,-71.064263,West End
Seaport Blvd at Sleeper St,21382,42.35317809186252,-71.04817356923377,South Boston
Washington St at Rutland St,21203,42.338514601786,-71.07404083013535,South End
Cambridge St at Joy St,20750,42.36125721646537,-71.06528744101524,West End
Boston City Hall - 28 State St,20518,42.35892,-71.057629,Financial District
Canal St at Causeway St,20206,42.36530094929082,-71.06092190993877,West End
700 Commonwealth Ave.,19902,42.34960945333059,-71.10391523698127,Fenway / Kenmore
Boylston St at Arlington St,19896,42.35254842775383,-71.06767407367443,
Kenmore Square,19562,42.348706,-71.097009,Fenway / Kenmore
Lewis Wharf at Atlantic Ave,19465,42.363871,-71.050877,North End
B.U. Central - 725 Comm. Ave.,19342,42.350406,-71.108279,Fenway / Kenmore
Back Bay T Stop - Dartmouth St at Stuart St,18912,42.34807412317439,-71.07657015323639,Back Bay
Prudential Center - 101 Huntington Ave,18775,42.34652003998412,-71.08065776545118,Back Bay
Dartmouth St at Newbury St,18654,42.35096144421219,-71.07782810926437,Back Bay
Valenti Way at Haverhill St,18406,42.36473898691789,-71.05934903025626,West End
Aquarium T Stop - 200 Atlantic Ave,17954,42.35991176110118,-71.0514298081398,North End
175 N Harvard St,17950,42.363796,-71.129164,Allston
Tremont St at Hamilton Pl,17794,42.35668334969929,-71.06166645884514,Downtown Boston
Silber Way,17423,42.34949599514002,-71.10057592391968,Allston
Beacon St at Charles St,17281,42.356052,-71.069849,Beacon Hill
Roxbury Crossing T Stop - Columbus Ave at Tremont St,17228,42.331184,-71.095171,Mission Hill
Tremont St at West St,17157,42.354979,-71.063348,Beacon Hill
Warren St at Chelsea St,16403,42.371848,-71.060292,Charlestown
Charlestown Navy Yard,16191,42.374124549426526,-71.05481199938367,Charlestown
W Broadway at D St,15865,42.3391085,-71.0514432,South Boston
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,15494,42.351586001198456,-71.04569256305693,South Boston
Harvard Stadium: N. Harvard St at Soldiers Field Rd,14930,42.368019,-71.1242,Allston
Tremont St at E Berkeley St,14900,42.345392,-71.069616,South End
Harrison Ave at Mullins Way,14852,42.34521562115022,-71.0638403149278,Chinatown
Soldiers Field Park - 111 Western Ave,14596,42.36426344063853,-71.1182756971175,Allston
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,14326,42.3374174845973,-71.10286116600037,Fenway / Kenmore
Government Center - Cambridge St at Court St,14306,42.3598253979878,-71.05979576244862,
Columbus Ave at W. Canton St,14042,42.34474224772802,-71.07648162175792,South End
Commonwealth Ave At Babcock St,14038,42.35154734791375,-71.12126246094704,Allston
Mass Ave T Station,13581,42.34135615767354,-71.08336953450817,Fenway / Kenmore
St. Alphonsus St at Tremont St,13474,42.33329254719182,-71.10124647617339,Mission Hill
Arch St at Franklin St,13280,42.35533501941256,-71.0582291708306,Downtown Boston
Boston Medical Center - E Concord St at Harrison Ave,13233,42.33639915372498,-71.07306711393903,South End
Union Square - Brighton Ave at Cambridge St,13094,42.353334,-71.137313,Allston
Harvard Ave at Brainerd Rd,13082,42.34953016890375,-71.13022770741735,Allston
Tremont St at Northampton St,12622,42.33889559644165,-71.08149975611013,South End
Surface Rd at Summer St,12579,42.35294569782581,-71.05656400803126,Downtown Boston
Seaport Square - Seaport Blvd at Northern Ave,12454,42.35148193460858,-71.04436084628105,South Boston
Park Dr at Buswell St,12423,42.347241,-71.105301,Allston
Stuart St at Berkeley St,12372,42.34954403114251,-71.0724207387284,Back Bay
Chinatown Gate Plaza,12355,42.351356,-71.059367,Chinatown
Brigham Circle - Francis St at Huntington Ave,11976,42.33462893055976,-71.10407917767589,Fenway / Kenmore
Northeastern University - North Parking Lot,11861,42.341814,-71.090179,Fenway / Kenmore
Stuart St at Charles St,11789,42.351146,-71.066289,
Innovation Lab - 125 Western Ave at Batten Way,11536,42.36371276003581,-71.12459778785706,Allston
Clarendon St at Newbury St,11502,42.35159662465317,-71.0756166279316,Back Bay
Huntington Ave at Mass Art,11478,42.336585554561154,-71.0988699646623,Mission Hill
Blossom St at Charles St,11271,42.36435589027983,-71.0695936904267,West End
Commonwealth Ave at Griggs St,11205,42.34922469338298,-71.13275302578586,Allston
One Brigham Circle,11013,42.33392270136997,-71.10446508982932,Mission Hill
Massachusetts Ave at Columbus Ave,10998,42.33949453726166,-71.0802078062261,South End
Congress St at Northern Ave,10871,42.3481,-71.03764,South Boston
Congress St at Boston City Hall,10777,42.36041774637169,-71.05752243543975,
Park Plaza at Charles St S.,10776,42.35182806892068,-71.06781138111728,
South Boston Library - 646 E Broadway,10458,42.335741,-71.03877,South Boston
Washington St at Waltham St,10379,42.34157471873748,-71.06890439987183,South End
Boylston St at Fairfield St,10263,42.34908155168097,-71.08192384243011,Back Bay
South End Library - Tremont St at W Newton St,10193,42.341332,-71.076847,South End
W Broadway at Dorchester St,10149,42.33595897943309,-71.04622899561036,South Boston
Rowes Wharf at Atlantic Ave,9966,42.357143,-71.050699,North End
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,9957,42.34011512249236,-71.10061883926392,Fenway / Kenmore
Surface Rd at India St,9943,42.358155,-71.052163,Financial District
Lansdowne T Stop,9839,42.34734473177431,-71.1001680795016,Fenway / Kenmore
Purchase St at Pearl St,9419,42.354659,-71.053181,Financial District
Harrison Ave at Bennet St,9373,42.34942609892521,-71.06209959843909,
Tremont St at W. Dedham St,9197,42.34254913737952,-71.07421449387857,South End
Brighton Mills - 370 Western Ave,9105,42.3615457081725,-71.13776206970215,Brighton
Boylston St at Berkeley St,9054,42.3511419825475,-71.07329249382019,Back Bay
Jackson Square T Stop,8658,42.32293117195949,-71.10014140605927,Roxbury
The Lawn on D,8547,42.344792,-71.044024,South Boston
Wentworth Institute of Technology - Huntington Ave at Vancouver St,8533,42.33758601097239,-71.09627097845076,Fenway / Kenmore
Ink Block - Harrison Ave at Herald St,8514,42.345901,-71.063187,South End
Congress St at Sleeper St,8292,42.351004495946704,-71.04930013418198,South Boston
Hyde Square - Barbara St at Centre St,8277,42.32176525723952,-71.10984160567114,Jamaica Plain
Harrison Ave at E. Dedham St,8250,42.339194,-71.06975,South End
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,8163,42.378338,-71.048927,Charlestown
Forest Hills,8162,42.300923,-71.114249,Roslindale
Honan Library,8128,42.36027370454934,-71.12852452327388,Allston
Seaport Hotel - Congress St at Seaport Ln,7940,42.34881026188269,-71.04167744055303,South Boston
Washington St at Peters Park,7918,42.34303291130257,-71.06688730436872,South End
Commonwealth Ave at Kelton St,7893,42.348358628170445,-71.13997217276847,Brighton
Boylston St at Dartmouth St,7882,42.35010609546997,-71.07720464005979,Back Bay
Stony Brook T Stop,7823,42.316966,-71.104374,Roxbury
Fan Pier,7703,42.3533905070523,-71.04457139968872,South Boston
Clinton St at North St,7425,42.3607028354884,-71.05524927377701,
Main St at Austin St,7331,42.375603,-71.064608,Charlestown
Washington St at Lenox St,7287,42.3350989929096,-71.07903778553009,South End
Shawmut Ave at Oak St W,7285,42.34854543411198,-71.06559185315746,Chinatown
State Street at Channel Center,7149,42.344137,-71.052608,South Boston
Brighton Center - Washington St at Cambridge St,7017,42.34894857235593,-71.15027189254761,Brighton
Dorchester Ave at Gillette Park,6849,42.34404051001636,-71.05737626552582,South Boston
Pier 4 Blvd at Autumn Ln,6518,42.3502102,-71.0446705,South Boston
Boston Convention and Exhibition Center - Summer St at West Side Dr,6468,42.347763454147454,-71.0453599691391,South Boston
Murphy Skating Rink - 1880 Day Blvd,6390,42.336448,-71.023739,South Boston
Main St at Thompson Sq,6234,42.374878467440965,-71.06383498767171,Charlestown
One Beacon St,6204,42.358477644348106,-71.06135129928589,Beacon Hill
Troy Boston,6114,42.343749,-71.062256,South End
Farragut Rd at E. 6th St,6082,42.3334,-71.02495,South Boston
Albany St at E. Brookline St,6022,42.33664795427071,-71.0689445958451,South End
Burlington Ave at Brookline Ave,6010,42.345733,-71.100694,Fenway / Kenmore
Broad St at Central St,5870,42.35849449039304,-71.05426469875965,Financial District
Brighton Ave at Linden St,5732,42.3528376,-71.1296752,Allston
Green Street T Stop - Green St at Amory St,5633,42.310579,-71.107341,Roxbury
Post Office Square,5403,42.35585435522005,-71.05459745998814,Financial District
Ring Rd,5341,42.348278385426255,-71.08044855314802,Back Bay
Washington St at Melnea Cass Blvd,5130,42.332817,-71.081198,Roxbury
ID Building West,4918,42.344796,-71.031614,South Boston
Columbia Rd at Tierney Community Center,4868,42.33023070528729,-71.05060093123029,South Boston
West End Park,4796,42.36590788445084,-71.06446668505669,West End
Bartlett St at John Elliot Sq,4686,42.3294633,-71.0901582,Roxbury
Cleveland Circle,4636,42.335543083570826,-71.15061519672052,Brighton
Western Ave at Richardson St,4621,42.36178741066188,-71.14393111327445,Brighton
S Huntington Ave at Heath St,4570,42.32760387040573,-71.11089169979095,Jamaica Plain
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,4507,42.326599,-71.066498,Dorchester
Maverick Square - Lewis Mall,4502,42.36884408289836,-71.03977829217911,East Boston
Main St at Baldwin St,4454,42.380857,-71.070629,Charlestown
Dudley Square - Bolling Building,4407,42.329842993518085,-71.08386572459494,Roxbury
New Balance - 20 Guest St,4313,42.35732921867706,-71.14673539996147,Brighton
Williams St at Washington St,4263,42.306539,-71.107669,
Boston Landing,4230,42.35656092308941,-71.14167537549292,Brighton
Medford St at Charlestown BCYF,4195,42.380429474494896,-71.06055721676967,Charlestown
Washington St at Egremont Rd,4133,42.34286835071959,-71.14127840855872,Brighton
Bunker Hill Community College,4126,42.37408991426522,-71.06905996799469,Charlestown
Sullivan Square,4102,42.38445225635844,-71.07514854529654,Charlestown
JFK/UMass T Stop,4097,42.32033973515723,-71.05118036270142,Dorchester
Edwards Playground - Main St at Eden St,3901,42.378965,-71.068607,Charlestown
Airport T Stop - Bremen St at Brooks St,3785,42.3741106053353,-71.0327721095473,East Boston
Geiger Gibson Community Health Center,3695,42.31886468217537,-71.04536797860419,Dorchester
Centre St at Seaverns Ave,3658,42.3121203,-71.1142981,
Oak Square - 615 Washington St,3315,42.35057,-71.166491,Brighton
Central Square East Boston,3289,42.37544912547037,-71.03918548682486,East Boston
Curtis Hall - South St at Centre St,3231,42.309054,-71.11543,
East Boston Neighborhood Health Center - 20 Maverick Square,3197,42.369536,-71.039431,East Boston
Andrew T Stop - Dorchester Ave at Dexter St,3167,42.330473650415165,-71.05701684951782,South Boston
Commonwealth Ave at Chiswick Rd,3166,42.34024644768889,-71.15168806174552,Brighton
645 Summer St,3117,42.341780891371904,-71.03987016504107,South Boston
ID Building East,2926,42.344827,-71.028664,South Boston
E Cottage St at Columbia Rd,2754,42.320561,-71.06198,Dorchester
Washington St at Brock St,2700,42.3489528466951,-71.16031676530838,Brighton
Martha Eliot Health Center,2694,42.324173,-71.10196,Jamaica Plain
The Overlook at St. Gabriel's,2687,42.34679008347347,-71.14549813806661,Brighton
Hayes Square - Vine St at Moulton St,2683,42.377022,-71.056605,Charlestown
University of Massachusetts Boston - Campus Center,2333,42.31218918475612,-71.03648586203235,Dorchester
MLK Blvd at Washington St,2191,42.32143814183195,-71.09126061201096,Roxbury
Faneuil St at Arlington St,2168,42.35276620545606,-71.15988485533308,Brighton
Sydney St at Carson St,2159,42.32039374304257,-71.05355408051764,Dorchester
Ryan Playground - Dorchester Ave at Harbor View St,2042,42.317642,-71.056664,Dorchester
Porzio Park,2032,42.364119035231525,-71.02876782417297,East Boston
The Eddy - New St at Sumner St,1963,42.370744,-71.044201,East Boston
Jamaica St at South St,1933,42.3060456272408,-71.11570891001975,
Orient Heights T Stop - Bennington St at Saratoga St,1895,42.386781,-71.006098,East Boston
Gove St at Orleans St,1761,42.37057753242139,-71.03558540113227,East Boston
Piers Park,1759,42.36501119822304,-71.03528559207916,East Boston
Bowdoin St at Quincy St,1684,42.30785224238503,-71.06512248516083,Dorchester
Roxbury YMCA - Warren St at MLK Blvd,1682,42.31787329345602,-71.08243077993393,Roxbury
Whittier St Health Center,1639,42.33286288486264,-71.09218861916816,Roxbury
Maverick St at Massport Path,1619,42.36774122306014,-71.0333597474255,East Boston
Bennington St at Constitution Beach,1580,42.385223935870535,-71.01063068965232,East Boston
Savin Hill T Stop - S Sydney St at Bay St,1574,42.3106,-71.0539,Dorchester
Egleston Square - Atherton St at Washington St,1525,42.315692,-71.098634,Roxbury
Ashmont T Stop,1516,42.2856944,-71.0641389,Dorchester
Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,1475,42.325333,-71.075354,Roxbury
Shawmut Ave at Lenox St,1421,42.33584612997077,-71.08038157224655,South End
Flat 9 at Whittier,1415,42.33420351352245,-71.08767616843123,Roxbury
Fields Corner T Stop,1386,42.29963348842063,-71.06068975823291,Dorchester
Walnut Ave at Warren St,1328,42.324081,-71.083235,Roxbury
Walnut Ave at School St,1265,42.31242399029812,-71.09616905450821,Roxbury
NCAAA - Walnut Ave at Crawford St,1253,42.316902,-71.091946,Roxbury
Day Sq,1218,42.379295,-71.027733,East Boston
Boston East - 126 Border St,1190,42.373312125824704,-71.0410200806291,East Boston
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,1128,42.303469,-71.085347,Roxbury
Uphams Corner,1110,42.31727474327453,-71.06537003967787,Dorchester
The Dimock Center,1081,42.3193094317828,-71.09639923859504,Roxbury
Roslindale Village - South St,1081,42.287072,-71.127754,Roslindale
Hyde Park Ave at Walk Hill St,1070,42.29606704649873,-71.11601199963843,Roslindale
Franklin Park - Seaver St at Humboldt Ave,992,42.309796,-71.092225,Roxbury
Shawmut T Stop,972,42.292917,-71.06575,Dorchester
Bennington St at Byron St,928,42.383532520117896,-71.01619094610214,East Boston
Addison St at Saratoga St,928,42.38518146513944,-71.0151367,East Boston
Hood Park,919,42.38004534693313,-71.0730457305908,Charlestown
Marion St at White St,900,42.38066930871317,-71.03907315999093,East Boston
Uphams Corner T Stop - Magnolia St at Dudley St,898,42.318697341722434,-71.0697814822197,Roxbury
Grove Hall Library - 41 Geneva Ave,850,42.30791,-71.080952,Roxbury
Archdale Rd at Washington St,831,42.29266592872725,-71.12119538714069,Roslindale
Gallivan Blvd at Adams St,702,42.28297567840305,-71.05466698296368,Dorchester
Circuit Drive at American Legion Hwy,692,42.29704126420948,-71.09171926975249,Roxbury
Columbia Rd at Ceylon St,681,42.309572,-71.0729,Dorchester
Blue Hill Ave at Southwood St,676,42.31786020589988,-71.07798628527235,Roxbury
Adams St at Lonsdale St,614,42.291679428741226,-71.05726346409938,Dorchester
Roslindale Village - Washington St,574,42.28630716010807,-71.12820532182013,Roslindale
Codman Square Library,563,42.2873611,-71.071111,Dorchester
Belgrade Ave at Walworth St,515,42.28634589486312,-71.13672129828046,Roslindale
Four Corners - 157 Washington St,507,42.30412792739016,-71.07929527759552,Roxbury
Northbourne Rd at Hyde Park Ave,494,42.29118034790426,-71.117736660035,Roslindale
Mt. Hope St at Hyde Park Ave,493,42.28484472443536,-71.11874517062459,Roslindale
Central Ave at River St,491,42.27094707029229,-71.07337901405117,Mattapan
Washington St at Talbot Ave,483,42.290333,-71.071806,Dorchester
Talbot Ave At Blue Hill Ave,477,42.2945833,-71.087111,Roxbury
Washington St at Bowdoin St,474,42.29916497936589,-71.07345871645519,Dorchester
Glendon St at Condor St,453,42.38240377674137,-71.03024303913116,East Boston
Washington St at Denton Terr,450,42.280728147169015,-71.13423757273267,Roslindale
Boylston St at Charles St,447,42.3525760946701,-71.06764405041758,
Knoll St at Centre St,442,42.29376656473529,-71.1365658044815,Roslindale
Centre St at W. Roxbury Post Office,415,42.28633199112775,-71.15344755369732,West Roxbury
Mattapan T Stop,406,42.267902,-71.093641,Mattapan
Roseland St At Dorchester Ave,351,42.2911685327193,-71.06300890445709,Dorchester
606 American Legion Hwy at Canterbury St,346,42.28578,-71.109725,Roslindale
Boylston St at Charles St (Temp Winter Location),327,42.35258524849636,-71.06770277023315,Beacon Hill
Centre St at Parkway YMCA,286,42.28277901074054,-71.15728851416861,West Roxbury
Washington St at Walsh Playground,284,42.27719469639791,-71.06955613950048,Dorchester
Blue Hill Ave at Havelock St,284,42.286012,-71.090986,Mattapan
Spring St at Powell St,283,42.277484442008216,-71.16341467955863,West Roxbury
Park St at Norwell St,266,42.29442578670662,-71.07821760713703,Dorchester
Bellevue T Stop,237,42.28611420958351,-71.14636927843094,Roslindale
American Legion Hwy at Cummins Hwy,212,42.278811581565975,-71.11687703062671,Roslindale
Mattapan Library,211,42.2773889,-71.09325,Mattapan
Thetford Ave at Norfolk St,209,42.286212948246096,-71.07942931372236,Mattapan
Morton St at Gallivan Blvd,185,42.278747,-71.080286,Mattapan
Ross Playground,176,42.2645666,-71.1145523,Hyde Park
Blue Hill Ave at Almont St,169,42.27462067181224,-71.09372552493369,Mattapan
Hyde Park Library,166,42.2568376,-71.122509,Hyde Park
Morton St T,162,42.280725142920296,-71.08617242434775,Mattapan
Cleary Sq,153,42.2556,-71.12444,Hyde Park
Washington St at Fuller St,121,42.281986277339136,-71.07147924620222,Dorchester
Hyde Park Ave at Arlington St,110,42.26286746177123,-71.12163126468657,Hyde Park
2 Hummingbird Lane at Olmsted Green,78,42.28887,-71.095003,Mattapan
555 Metropolitan Ave,75,42.2681,-71.11924,Hyde Park
American Legion Hwy at Hyde Park Ave,74,42.27265394101898,-71.119903922081,Hyde Park
18 Dorrance Warehouse,37,42.387151,-71.075978,Charlestown
