route_shor,route_long,white_all,white_percentage,black_all,black_percentage,aapi_all,aapi_percentage,hisp_all,hisp_percentage,other_all,other_percentage,total_population
10,modified - MF (South Boston-Andrew-Ruggles),210242.0,38.945820181093374,145108.0,26.880214585278384,66182.0,12.259740067280191,107284.0,19.873590302168083,11016.0,2.040634864179967,539832.0
10,modified - MF (South Boston-Andrew-Ruggles),210242.0,38.945820181093374,145108.0,26.880214585278384,66182.0,12.259740067280191,107284.0,19.873590302168083,11016.0,2.040634864179967,539832.0
100,modified - WF+ (Medford-Fellsway-Wellington),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
100,modified - WF+ (Medford-Fellsway-Wellington),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
105,modified - MF (Saugus-Malden),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
105,modified - MF (Saugus-Malden),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
106,modified - MF (Lebanon Loop-Wellington),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
106,modified - MF (Lebanon Loop-Wellington),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
108,modified - MF (Malden Center-Kennedy Drive),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
108,modified - MF (Malden Center-Kennedy Drive),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
11,modified - WF+ (South Boston-Broadway),66908.0,79.3444489244124,3378.0,4.005881934397458,5118.0,6.069302468989398,8406.0,9.968455755045893,516.0,0.6119109171548515,84326.0
11,modified - WF+ (South Boston-Broadway),66908.0,79.3444489244124,3378.0,4.005881934397458,5118.0,6.069302468989398,8406.0,9.968455755045893,516.0,0.6119109171548515,84326.0
112,modified - WF (Admiral's Hill-Quigley Hospital),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
112,modified - WF (Admiral's Hill-Quigley Hospital),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
119,modified - MF (Winthrop-Revere),31520.0,38.000626913895786,2806.0,3.382923829961662,3864.0,4.658452487160321,43400.0,52.32319822535143,1356.0,1.6347985436307961,82946.0
119,modified - MF (Winthrop-Revere),31520.0,38.000626913895786,2806.0,3.382923829961662,3864.0,4.658452487160321,43400.0,52.32319822535143,1356.0,1.6347985436307961,82946.0
120,modified - MF (Winthrop-Maverick),31520.0,38.000626913895786,2806.0,3.382923829961662,3864.0,4.658452487160321,43400.0,52.32319822535143,1356.0,1.6347985436307961,82946.0
120,modified - MF (Winthrop-Maverick),31520.0,38.000626913895786,2806.0,3.382923829961662,3864.0,4.658452487160321,43400.0,52.32319822535143,1356.0,1.6347985436307961,82946.0
131,modified - MF (Melrose-Saugus-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
131,modified - MF (Melrose-Saugus-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
132,- WF+ (Stoneham-Malden),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
132,- WF+ (Stoneham-Malden),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
133,- WF+ (Anderson-Woburn-Stoneham-Melrose),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
133,- WF+ (Anderson-Woburn-Stoneham-Melrose),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
137,modified - WF+ (Reading-Wakefield-Malden),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
137,modified - WF+ (Reading-Wakefield-Malden),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
14,modified - MF (Cleary Sq-American Legion Hwy-Nubian),113918.0,23.185827739627047,206006.0,41.9285769529803,37644.0,7.661715439443466,122732.0,24.979748680102418,11026.0,2.244131187846766,491326.0
14,modified - MF (Cleary Sq-American Legion Hwy-Nubian),113918.0,23.185827739627047,206006.0,41.9285769529803,37644.0,7.661715439443466,122732.0,24.979748680102418,11026.0,2.244131187846766,491326.0
18,modified - YF (Ashmont-JFK/UMass),113100.0,37.918918556466,88486.0,29.666608553381522,30874.0,10.351093647323884,58344.0,19.560931779473496,7464.0,2.5024474633551037,298268.0
18,modified - YF (Ashmont-JFK/UMass),113100.0,37.918918556466,88486.0,29.666608553381522,30874.0,10.351093647323884,58344.0,19.560931779473496,7464.0,2.5024474633551037,298268.0
19,modified - MF (Fields Corner-Franklin Park-Ruggles),69186.0,21.167637556295283,131020.0,40.085911494027805,33274.0,10.180267280203642,84026.0,25.707974348932837,9342.0,2.8582093205404346,326848.0
19,modified - MF (Fields Corner-Franklin Park-Ruggles),69186.0,21.167637556295283,131020.0,40.085911494027805,33274.0,10.180267280203642,84026.0,25.707974348932837,9342.0,2.8582093205404346,326848.0
20,- WF (Ashmont-Field's Corner),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
20,- WF (Ashmont-Field's Corner),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
21,- MF (Ashmont-Forest Hills),109046.0,27.34908544614127,150150.0,37.658100065459635,36947.0,9.266425728395186,93298.0,23.399436696019002,9278.0,2.3269520639849115,398719.0
21,- MF (Ashmont-Forest Hills),109046.0,27.34908544614127,150150.0,37.658100065459635,36947.0,9.266425728395186,93298.0,23.399436696019002,9278.0,2.3269520639849115,398719.0
210,modified - MF (Quincy-North Quincy-Ashmont),56311.0,22.78128173281927,101705.0,41.14596186600103,27210.0,11.008127647351536,54649.0,22.108899955902757,7306.0,2.9557287979254068,247181.0
210,modified - MF (Quincy-North Quincy-Ashmont),56311.0,22.78128173281927,101705.0,41.14596186600103,27210.0,11.008127647351536,54649.0,22.108899955902757,7306.0,2.9557287979254068,247181.0
211,- WF+ (Squantum-North Quincy-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
211,- WF+ (Squantum-North Quincy-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
215,modified - MF (Quincy Center-East Milton-Fields Corner),54822.0,24.406335977776,85428.0,38.031893581216444,26720.0,11.895540062861162,50570.0,22.513378030647043,7082.0,3.152852347499355,224622.0
215,modified - MF (Quincy Center-East Milton-Fields Corner),54822.0,24.406335977776,85428.0,38.031893581216444,26720.0,11.895540062861162,50570.0,22.513378030647043,7082.0,3.152852347499355,224622.0
216,- MF (Houghs Neck-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
216,- MF (Houghs Neck-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
217,- XF (Quincy-Milton-Ashmont),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
217,- XF (Quincy-Milton-Ashmont),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
220,- MF (Hingham Depot-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
220,- MF (Hingham Depot-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
222,modified - MF (Lovell Corners-Quincy Center),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
222,modified - MF (Lovell Corners-Quincy Center),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
225,- WF+ (Quincy Center-Quincy Ave-Weymouth Landing),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
225,- WF+ (Quincy Center-Quincy Ave-Weymouth Landing),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
225,(variant) - WF+ (Quincy Center-South St-Weymouth Landing)),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
225,(variant) - WF+ (Quincy Center-South St-Weymouth Landing)),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
226,- WF+ (Columbian Square-Braintree),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
226,- WF+ (Columbian Square-Braintree),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
230,modified - WF+ (Montello-Holbrook-Braintree),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
230,modified - WF+ (Montello-Holbrook-Braintree),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
236,modified - WF+ (Braintree-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
236,modified - WF+ (Braintree-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
237,- WF+ (South Shore Plaza-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
237,- WF+ (South Shore Plaza-Quincy),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
238,modified - WF+ (Holbrook/Randolph-Quincy Adams),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
238,modified - WF+ (Holbrook/Randolph-Quincy Adams),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
24,modified - MF (Dedham Mall-Hyde Park-Mattapan-Ashmont),72698.0,21.84238199681519,148324.0,44.56449238349908,29054.0,8.729381365862453,74530.0,22.392813147853257,8224.0,2.4709311059700148,332830.0
24,modified - MF (Dedham Mall-Hyde Park-Mattapan-Ashmont),72698.0,21.84238199681519,148324.0,44.56449238349908,29054.0,8.729381365862453,74530.0,22.392813147853257,8224.0,2.4709311059700148,332830.0
240,modified - WF+ (Avon-Randolph-Milton-Ashmont),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
240,modified - WF+ (Avon-Randolph-Milton-Ashmont),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
245,- WF (Quincy-Milton-Mattapan),2978.0,6.600469878983997,32554.0,72.15302096724146,980.0,2.1720820958375815,8158.0,18.08147524269693,448.0,0.9929518152400372,45118.0
245,- WF (Quincy-Milton-Mattapan),2978.0,6.600469878983997,32554.0,72.15302096724146,980.0,2.1720820958375815,8158.0,18.08147524269693,448.0,0.9929518152400372,45118.0
26,modified - MF (Mattapan-Fields Corner),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
26,modified - MF (Mattapan-Fields Corner),57800.0,21.42804181804701,117982.0,43.73915622451249,27700.0,10.269148068510416,58728.0,21.772076814710463,7530.0,2.791577074219619,269740.0
29,modified - YF (Ashmont-Franklin Field),54822.0,24.406335977776,85428.0,38.031893581216444,26720.0,11.895540062861162,50570.0,22.513378030647043,7082.0,3.152852347499355,224622.0
29,modified - YF (Ashmont-Franklin Field),54822.0,24.406335977776,85428.0,38.031893581216444,26720.0,11.895540062861162,50570.0,22.513378030647043,7082.0,3.152852347499355,224622.0
30,- MF (Mattapan-Forest Hills),88796.0,36.640477998217406,84358.0,34.809196844155416,10340.0,4.266662265209784,56548.0,23.333773479021556,2302.0,0.949889413395834,242344.0
30,- MF (Mattapan-Forest Hills),88796.0,36.640477998217406,84358.0,34.809196844155416,10340.0,4.266662265209784,56548.0,23.333773479021556,2302.0,0.949889413395834,242344.0
34,modified - MF (Legacy Place-Forest Hills),127654.0,49.447246302709154,58428.0,22.632300648430057,14262.0,5.524438143491296,55524.0,21.507425569990936,2294.0,0.8885893353785608,258162.0
34,modified - MF (Legacy Place-Forest Hills),127654.0,49.447246302709154,58428.0,22.632300648430057,14262.0,5.524438143491296,55524.0,21.507425569990936,2294.0,0.8885893353785608,258162.0
34E,modified - WF+ (Walpole-Dedham-Forest Hills),127654.0,49.447246302709154,58428.0,22.632300648430057,14262.0,5.524438143491296,55524.0,21.507425569990936,2294.0,0.8885893353785608,258162.0
34E,modified - WF+ (Walpole-Dedham-Forest Hills),127654.0,49.447246302709154,58428.0,22.632300648430057,14262.0,5.524438143491296,55524.0,21.507425569990936,2294.0,0.8885893353785608,258162.0
35,- MF (Dedham Mall-Centre St-Forest Hills),112756.0,57.802247375328086,28086.0,14.397760826771652,12908.0,6.617043963254593,39722.0,20.362737860892388,1600.0,0.8202099737532809,195072.0
35,- MF (Dedham Mall-Centre St-Forest Hills),112756.0,57.802247375328086,28086.0,14.397760826771652,12908.0,6.617043963254593,39722.0,20.362737860892388,1600.0,0.8202099737532809,195072.0
350,modified - WF+ (Burlington-Arlington-Alewife),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
350,modified - WF+ (Burlington-Arlington-Alewife),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
351,- XF (Burlington Peak),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
351,- XF (Burlington Peak),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
36,modified - MF (Dedham Mall-VA Hospital-Forest Hills),112756.0,57.802247375328086,28086.0,14.397760826771652,12908.0,6.617043963254593,39722.0,20.362737860892388,1600.0,0.8202099737532809,195072.0
36,modified - MF (Dedham Mall-VA Hospital-Forest Hills),112756.0,57.802247375328086,28086.0,14.397760826771652,12908.0,6.617043963254593,39722.0,20.362737860892388,1600.0,0.8202099737532809,195072.0
38,modified - WF+ (West Roxbury-Nubian),127120.0,42.75844438913145,73678.0,24.78254142308391,19462.0,6.546293617851448,73178.0,24.61436000242181,3860.0,1.2983605675113858,297298.0
38,modified - WF+ (West Roxbury-Nubian),127120.0,42.75844438913145,73678.0,24.78254142308391,19462.0,6.546293617851448,73178.0,24.61436000242181,3860.0,1.2983605675113858,297298.0
40,modified - WF+ (Readville-Germantown-West Roxbury-Forest Hills),127654.0,49.447246302709154,58428.0,22.632300648430057,14262.0,5.524438143491296,55524.0,21.507425569990936,2294.0,0.8885893353785608,258162.0
40,modified - WF+ (Readville-Germantown-West Roxbury-Forest Hills),127654.0,49.447246302709154,58428.0,22.632300648430057,14262.0,5.524438143491296,55524.0,21.507425569990936,2294.0,0.8885893353785608,258162.0
42,modified - MF (Forest Hills-Nubian-Broadway),154257.0,48.88760006845538,64100.0,20.314767980629664,26514.0,8.40289794443705,66954.0,21.219266386506682,3709.0,1.1754676199712233,315534.0
42,modified - MF (Forest Hills-Nubian-Broadway),154257.0,48.88760006845538,64100.0,20.314767980629664,26514.0,8.40289794443705,66954.0,21.219266386506682,3709.0,1.1754676199712233,315534.0
426,modified - MF (Lynn-Saugus-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
426,modified - MF (Lynn-Saugus-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
429,modified - MF (Lynnfield-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
429,modified - MF (Lynnfield-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
43,- YF (Ruggles-Park Street),84786.0,39.134649114709305,53682.0,24.777984971290365,30302.0,13.986485239000793,44972.0,20.757712829791554,2910.0,1.3431678452079832,216652.0
43,- YF (Ruggles-Park Street),84786.0,39.134649114709305,53682.0,24.777984971290365,30302.0,13.986485239000793,44972.0,20.757712829791554,2910.0,1.3431678452079832,216652.0
435,modified - MF (Salem Depot-Peabody-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
435,modified - MF (Salem Depot-Peabody-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
436,modified - WF+ (Liberty Tree Mall-Lynnfield-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
436,modified - WF+ (Liberty Tree Mall-Lynnfield-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
439,modified - YF (Nahant-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
439,modified - YF (Nahant-Lynn),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
442,modified - MF (Marblehead-Swampscott-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
442,modified - MF (Marblehead-Swampscott-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
450,modified - MF (Salem-Lynn-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
450,modified - MF (Salem-Lynn-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
451,modified - YF (Beverly),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
451,modified - YF (Beverly),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
455,modified - MF (Salem-Swampscott-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
455,modified - MF (Salem-Swampscott-Wonderland),0.0,,0.0,,0.0,,0.0,,0.0,,0.0
50,modified - WF+ (Readville-Fairmount-Hyde Park-Forest Hills),85818.0,43.51251863344589,51804.0,26.26631377201789,9360.0,4.745824587021994,48390.0,24.535304675854096,1854.0,0.940038331660126,197226.0
50,modified - WF+ (Readville-Fairmount-Hyde Park-Forest Hills),85818.0,43.51251863344589,51804.0,26.26631377201789,9360.0,4.745824587021994,48390.0,24.535304675854096,1854.0,0.940038331660126,197226.0
501,- XF2 (Brighton-Downtown),214864.0,60.783958719956544,21294.0,6.023966867333544,76080.0,21.52265423437288,37650.0,10.650998053682162,3600.0,1.0184221246548681,353488.0
501,- XF2 (Brighton-Downtown),214864.0,60.783958719956544,21294.0,6.023966867333544,76080.0,21.52265423437288,37650.0,10.650998053682162,3600.0,1.0184221246548681,353488.0
504,- XF2 (Watertown-Downtown),214864.0,60.783958719956544,21294.0,6.023966867333544,76080.0,21.52265423437288,37650.0,10.650998053682162,3600.0,1.0184221246548681,353488.0
504,- XF2 (Watertown-Downtown),214864.0,60.783958719956544,21294.0,6.023966867333544,76080.0,21.52265423437288,37650.0,10.650998053682162,3600.0,1.0184221246548681,353488.0
505,modified - XF2 (Waltham-Watertown-Downtown),214864.0,60.783958719956544,21294.0,6.023966867333544,76080.0,21.52265423437288,37650.0,10.650998053682162,3600.0,1.0184221246548681,353488.0
505,modified - XF2 (Waltham-Watertown-Downtown),214864.0,60.783958719956544,21294.0,6.023966867333544,76080.0,21.52265423437288,37650.0,10.650998053682162,3600.0,1.0184221246548681,353488.0
51,- WF+ (Reservoir-Bellevue-Forest Hills),112756.0,57.802247375328086,28086.0,14.397760826771652,12908.0,6.617043963254593,39722.0,20.362737860892388,1600.0,0.8202099737532809,195072.0
51,- WF+ (Reservoir-Bellevue-Forest Hills),112756.0,57.802247375328086,28086.0,14.397760826771652,12908.0,6.617043963254593,39722.0,20.362737860892388,1600.0,0.8202099737532809,195072.0
